name,latitude,longitude,,,,,,,,
Zakhidnoukrainska,49.38615,24.25014,,,,,,,,
 Vinnytsia substation,49.16509,28.72358,,,,,,,,
Lisova substation,50.8775,28.5938,,,,,,,,
Kyivska substation,50.56845,29.73275,,,,,,,,
Pivnichna substation,50.44313,30.48566,,,,,,,,
Novokyivska substation,50.32962,30.43559,,,,,,,,
Nyvky substation,50.46779,30.40534,,,,,,,,
Pobuzka substation,48.21024,30.58016,,,,,,,,
Ukrainka substation,47.95,31.77,,,,,,,,
Kvartsyt substation,47.79,32.05,,,,,,,,
Rudna substation,48.31848,33.41331,,,,,,,,
Trykhaty substation,47.1483,31.82365,,,,,,,,
Adzhalyk substation,46.83711,30.91833,,,,,,,,
Chornobyl substation,51.34207,30.21299,,,,,,,,
Usatove substation,46.51194,30.65805,,,,,,,,
Novoodeska substation,46.45382,30.38699,,,,,,,,
Mikolaivska substation,47.08441,31.19792,,,,,,,,
Pivnichnoukrainska,50.69027,33.76944,,,,,,,,
Sumy Pivnichna,51.06394,34.98998,,,,,,,,
Himycha ,47.47671,33.31307,,,,,,,,
Dniprovska,48.4615,34.0288,,,,,,,,
Pivdenna,47.87778,33.40828,,,,,,,,
Kryvorizka,48.1776,33.78607,,,,,,,,
Pershotravneva,48.37205,33.9724,,,,,,,,
WDHMK,48.76311,33.99051,,,,,,,,
Prometei,48.643544,34.34207,,,,,,,,
Donbaska,48.55915,38.09229,,,,,,,,
Dnipro-Donbas,47.85614,35.21797,,,,,,,,
Pravoberezhna,47.75483,35.050453,,,,,,,,
Ferosplavna,47.47685,34.44398,,,,,,,,
Pivdennodonbaska,47.32455,37.42645,,,,,,,,
Pichna,48.54035,35.34471,,,,,,,,
Bilytska,48.40467,37.18904,,,,,,,,
Tsentralna,48.43998,37.5527,,,,,,,,
Zaliutyne,49.9711,36.138,,,,,,,,
Loseve ,50.122,36.334,,,,,,,,
Zuivska,48.0331,38.0799,,,,,,,,
Zoria,47.2856,37.89745,,,,,,,,
Pivdenna 2,47.98206,38.6662,,,,,,,,
Peremoha,48.22226,39.7212,,,,,,,,
Novodonbaska,48.45588,39.126196,,,,,,,,
